Topic Id,Top Words...
0,april ribbon spring boom hemlock jacob ease spruce dodd combe tamarac paints diploma oils paint thermor kidney tonic deck centrally
1,1 mr made good 000 men day 11 man ii 00 time 4 home year make 3 ing 5 7
2,christmas adrien jasper vermont constance gillette nov december gifts gift service oct lambs bill leroy hog rubbers terms overcoats ham
3,january mayor jan jack molly village thv municipal township municipality music disc theo esq warden moon mitts silos ksq bargains
4,kitty patch marched birthday convictions research cour faced roof guaranty empress browning lif blown copp chips crawl wad glorious illusion
5,2 3 sept leroy adrien hodgins mcdowell argue heifer display judged september yr bride shelton palmer township shaxx lester exhibition
6,1 war 2 shawville 8 great 0 st half canada lie tin week end sir house ed large work ont
7,june ford summer july dort gray rolt northern hill jelly anstruther car lawn jars 20c hose indians strawberry fly exhibition
8,anstruther kitty tobacco towels silos march jim bermuda fisher holt aspendaile spring pinkerton pauline combe hip february feb huckaback rolt
9,water school salt evening hundred side ford lu green suit 0f north general august leaves ins von kaiser forest wet
